name	country	type	coverage	url	catalogue_contact
M1 Finance	US	Neobroker	US ETFs / ETNs	https://m1.com/	
Cash App Investing	US	Neobroker	US ETFs / ETNs	https://cash.app/stocks	
Stash	US	Neobroker	US ETFs / ETNs	https://www.stash.com	
Fennel	US	Neobroker	US ETFs / ETNs	https://fennel.com/product	
eToro US	US	Neobroker	US ETFs / ETNs	https://www.etoro.com/en-us/	https://help.etoro.com/s/contactsupport
Zacks Trade	US	Broker	Global ETFs / ETPs	https://www.zackstrade.com/open-your-account/	
Lightspeed Financial	US	Broker	US ETFs / ETNs	https://lightspeed.com/open-an-account	
Cobra Trading	US	Broker	US ETFs / ETNs	https://www.cobratrading.com/account-opening-process/	
CenterPoint Securities	US	Broker	US ETFs / ETNs	https://centerpointsecurities.com/	
Siebert Financial	US	Broker	US ETFs / ETNs	https://www.siebert.com/	service@siebert.com
Citi Self Invest	US	Bank	US ETFs / ETNs	https://online.citi.com/US/nga/citi-self-invest	
U.S. Bancorp Advisors Self-Directed Investing	US	Bank	US ETFs / ETNs	https://www.usbank.com/investing/online-investing/self-directed-investing.html	https://www.usbank.com/investing/online-investing/self-directed-investing.html
TIAA Brokerage	US	Broker	US ETFs / ETNs	https://www.tiaa.org/public/invest/financial-products/brokerage-accounts	
eOption	US	Broker	US ETFs / ETNs	https://www.eoption.com	https://www.eoption.com/contact/
Plynk	US	Neobroker	US ETFs / ETNs	https://plynkinvest.com/	
TradeUP	US	Neobroker	US ETFs / ETNs	https://www.tradeup.com/	
Hapi	US	Neobroker	US ETFs / ETNs	https://hapi.trade	
Truist Trade	US	Bank	US ETFs / ETNs	https://www.truist.com/investing-retirement/self-directed-investing	https://www.truist.com/contact
PNC Brokerage Plus	US	Bank	US ETFs / ETNs	https://www.pnc.com/en/personal-banking/investments-and-retirement/brokerage-accounts/brokerage-accounts-faqs.html	
Betterment	US	Neobroker	US ETFs / ETNs	https://www.betterment.com/self-directed-investing	
Titan	US	Neobroker	US ETFs / ETNs	https://www.titan.com/	support@titan.com
Questrade	CA	Broker	Local + US ETFs	https://www.questrade.com/	https://www.questrade.com/learning/support
Interactive Brokers Canada	CA	Broker	Global ETFs / ETPs	https://www.interactivebrokers.ca/	https://www.interactivebrokers.com/en/general/contact/newContact/contact.php
Plus500 Canada	CA	Broker	Global ETFs / ETPs	https://www.plus500.com/	
Wealthsimple	CA	Neobroker	Local + US ETFs	https://www.wealthsimple.com/en-ca/accounts/non-registered	
Qtrade Direct Investing	CA	Broker	Local + US ETFs	https://www.qtrade.ca/en/investor/apply.html	DirectInvesting@qtrade.ca
TD Direct Investing	CA	Bank	Local + US ETFs	https://www.td.com/ca/en/investing/direct-investing	https://www.td.com/ca/en/investing/contact-us
RBC Direct Investing	CA	Bank	Local + US ETFs	https://www.rbcdirectinvesting.com/	https://www.rbcdirectinvesting.com/contact-us.html
BMO InvestorLine	CA	Bank	Local + US ETFs	https://www.bmo.com/en-ca/main/personal/investments/direct-investing/investorline/self-directed/	
Scotia iTRADE	CA	Bank	Local + US ETFs	https://www.scotiaitrade.com/en/home/open-trading-account.html	service@scotiaitrade.com
CIBC Investor's Edge	CA	Bank	Local + US ETFs	https://www.investorsedge.cibc.com/en/home.html	https://www.investorsedge.cibc.com/en/contact-us.html
National Bank Direct Brokerage	CA	Bank	Local + US ETFs	https://www.nbc.ca/en/direct-brokerage.html	
Desjardins Online Brokerage	CA	Bank	Local + US ETFs	https://www.disnat.com/en/	
CI Direct Trading	CA	Broker	Local + US ETFs	https://www.cifinancial.com/ci-dt/ca/en/trade/account-types.html	
Webull Canada	CA	Neobroker	Local + US ETFs	https://www.webull.ca/trading-investing/stocks	support@webull.ca
Moomoo Canada	CA	Neobroker	Local + US ETFs	https://www.moomoo.com/ca/	
IG	UK	Broker	Global ETFs / ETPs	https://www.ig.com/	
Interactive Brokers UK	UK	Broker	Global ETFs / ETPs	https://www.interactivebrokers.co.uk/	https://www.interactivebrokers.com/en/general/contact/newContact/contact.php
Swissquote UK	UK	Bank	Global ETFs / ETPs	https://www.swissquote.com/	
Plus500 UK	UK	Broker	Global ETFs / ETPs	https://www.plus500.com/	
Trading 212	UK	Neobroker	UCITS ETFs / ETCs	https://www.trading212.com/	info@trading212.com
Lightyear	UK	Neobroker	UCITS ETFs / ETCs	https://lightyear.com/en-gb	support@lightyear.com
Revolut	UK	Neobroker	UCITS ETFs / ETCs	https://www.revolut.com/stocks/	
eToro UK	UK	Neobroker	UCITS ETFs / ETCs	https://www.etoro.com/	https://help.etoro.com/s/contactsupport
XTB UK	UK	Broker	UCITS ETFs / ETCs	https://www.xtb.com/en	uksales@xtb.com
Hargreaves Lansdown	UK	Broker	UCITS ETFs / ETCs	https://www.hl.co.uk/my-accounts/open-a-new-account	https://www.hl.co.uk/contact-us
AJ Bell	UK	Broker	UCITS ETFs / ETCs	https://www.ajbell.co.uk/dealing-account	
AJ Bell Dodl	UK	Neobroker	UCITS ETFs / ETCs	https://dodl.co.uk/investments	hello@dodl.co.uk
interactive investor	UK	Broker	UCITS ETFs / ETCs	https://www.ii.co.uk/ii-accounts/trading-account	
Freetrade	UK	Neobroker	UCITS ETFs / ETCs	https://freetrade.io/general-investment-account	hello@freetrade.io
InvestEngine	UK	Neobroker	UCITS ETFs / ETCs	https://investengine.com/accounts/	
Vanguard Investor UK	UK	Broker	UCITS ETFs / ETCs	https://www.vanguardinvestor.co.uk/open-an-account	
Fidelity Personal Investing UK	UK	Broker	UCITS ETFs / ETCs	https://www.fidelity.co.uk/open-account/	
Charles Stanley Direct	UK	Broker	UCITS ETFs / ETCs	https://www.charles-stanley-direct.co.uk/	
Bestinvest	UK	Broker	UCITS ETFs / ETCs	https://www.bestinvest.co.uk/accounts	
Willis Owen	UK	Broker	UCITS ETFs / ETCs	https://www.willisowen.co.uk/isa/apply-for-an-isa	enquiries@willisowen.co.uk
Scottish Widows Share Dealing	UK	Bank	UCITS ETFs / ETCs	https://www.scottishwidows.co.uk/share-dealing	
Halifax Share Dealing	UK	Bank	UCITS ETFs / ETCs	https://www.halifax.co.uk/investing.html	
Lloyds Direct Investments	UK	Bank	UCITS ETFs / ETCs	https://www.investments.lloydsbank.com/share-centre/	https://www.investments.lloydsbank.com/share-centre/
Barclays Smart Investor	UK	Bank	UCITS ETFs / ETCs	https://www.barclays.co.uk/smart-investor/	https://www.barclays.co.uk/help/contact-us/
HSBC InvestDirect UK	UK	Bank	UCITS ETFs / ETCs	https://www.hsbc.co.uk/investments/products/invest-direct/	
Santander Investment Hub	UK	Bank	UCITS ETFs / ETCs	https://www.santander.co.uk/personal/savings-and-investments/investments/investment-account	https://www.santander.co.uk/personal/support/contact-us
Webull UK	UK	Neobroker	UCITS ETFs / ETCs	https://www.webull-uk.com/trading-investing	clientservices@webull-uk.com
Moneybox	UK	Neobroker	UCITS ETFs / ETCs	https://www.moneyboxapp.com/	
Plum	UK	Neobroker	UCITS ETFs / ETCs	https://withplum.com/en-gb/investments	help@withplum.com
Quilter Invest	UK	Neobroker	UCITS ETFs / ETCs	https://www.quilterinvest.com	support@quilterinvest.com
Chip	UK	Neobroker	UCITS ETFs / ETCs	https://getchip.uk/investing	
Prosper	UK	Neobroker	UCITS ETFs / ETCs	https://prosper.co.uk/investment-strategy	support@prosper.co.uk
Sidekick	UK	Neobroker	UCITS ETFs / ETCs	https://play.google.com/store/apps/details?id=com.sidekickmoney.sidekick	
Robinhood UK	UK	Neobroker	US ETFs / ETNs	https://robinhood.com/gb/en/	
Redmayne Bentley	UK	Broker	UCITS ETFs / ETCs	https://www.redmayne.co.uk/stockbroking	https://www.redmayne.co.uk/investment-management/contact-us
Killik & Co	UK	Broker	UCITS ETFs / ETCs	https://killik.com/what-we-offer/investment-management/stockbroking-service/	https://killik.com/contact-us/
Saxo UK	UK	Bank	Global ETFs / ETPs	https://www.home.saxo/en-gb/accounts/openaccount	
Moneyfarm	UK	Neobroker	UCITS ETFs / ETCs	https://www.moneyfarm.com/uk/	hello@moneyfarm.com
EQi	UK	Broker	UCITS ETFs / ETCs	https://eqi.co.uk/	https://eqi.co.uk/info/contact
Davy Select	IE	Broker	UCITS ETFs / ETCs	https://www.davyselect.ie/	
Goodbody	IE	Broker	UCITS ETFs / ETCs	https://www.goodbody.ie/individuals/self-invest/	cork@goodbody.ie
Cantor Fitzgerald Ireland	IE	Broker	UCITS ETFs / ETCs	https://cantorfitzgerald.ie/private-clients/	https://cantorfitzgerald.ie/financial-advisors-intermediaries/application-forms-support/
Interactive Brokers Ireland	IE	Broker	Global ETFs / ETPs	https://www.interactivebrokers.ie/	https://www.interactivebrokers.com/en/general/contact/newContact/contact.php
Trade Republic	DE	Neobroker	UCITS ETFs / ETCs	https://traderepublic.com/de-de	
CapTrader	DE	Broker	Global ETFs / ETPs	https://www.captrader.com/	info@captrader.com
Scalable Capital	DE	Neobroker	UCITS ETFs / ETCs	https://de.scalable.capital/trading	service@scalable.capital
comdirect	DE	Bank	UCITS ETFs / ETCs	https://www.comdirect.de/depot/comdirect-depot.html	
ING Deutschland	DE	Bank	UCITS ETFs / ETCs	https://www.ing.de/sparen-anlegen/direkt-depot/	
DKB Broker	DE	Bank	UCITS ETFs / ETCs	https://www.dkb.de/privatkunden/investieren/depot	
Consorsbank	DE	Bank	UCITS ETFs / ETCs	https://www.consorsbank.de/web/Wertpapierhandel/Wertpapierdepot	
flatex	DE	Broker	UCITS ETFs / ETCs	https://www.flatex.de/depot/	
N26	DE	Bank	UCITS ETFs / ETCs	https://n26.com/	
Trading 212 EU	DE	Neobroker	UCITS ETFs / ETCs	https://www.trading212.com/	
IG Europe	DE	Broker	Global ETFs / ETPs	https://www.ig.com/	
Commerzbank	DE	Bank	UCITS ETFs / ETCs	https://www.commerzbank.de/privatkunden/investieren/depot/depot-eroeffnen/	
1822direkt	DE	Bank	UCITS ETFs / ETCs	https://www.1822direkt.de/anlegen-depot/wertpapierdepot/	
S Broker (Sparkasse)	DE	Bank	UCITS ETFs / ETCs	https://www.sbroker.de/service/leistungen/depoteroeffnung	https://www.sbroker.de/kontakt
maxblue (Deutsche Bank)	DE	Bank	UCITS ETFs / ETCs	https://www.maxblue.de/wertpapierhandel/handeln/depot.html	info.maxblue@db.com
Smartbroker+	DE	Neobroker	UCITS ETFs / ETCs	https://www.smartbrokerplus.de/de-de/	
justTRADE	DE	Neobroker	UCITS ETFs / ETCs	https://www.justtrade.com/	
finanzen.net zero	DE	Neobroker	UCITS ETFs / ETCs	https://www.finanzen.net/zero/	
Traders Place	DE	Neobroker	UCITS ETFs / ETCs	https://www.tradersplace.de/angebot/uebersicht	https://www.tradersplace.de/service/service-tools/kontakt
Targobank	DE	Bank	UCITS ETFs / ETCs	https://www.targobank.de/de/vermoegen/direkt-depot.html	https://www.targobank.de/de/kontakt/index.html
Postbank	DE	Bank	UCITS ETFs / ETCs	https://www.postbank.de/privatkunden/produkte/wertpapiere-sparen/wertpapiere/depot-eroeffnen.html	https://www.postbank.de/privatkunden/services/kontakt.html
GENO Broker	DE	Bank	UCITS ETFs / ETCs	https://www.genobroker.de/unsere-depots/depoteroeffnung.html	service@genobroker.de
LYNX Broker	DE	Broker	Global ETFs / ETPs	https://www.lynxbroker.de/wertpapierdepot/depot-eroeffnen/	info@lynxbroker.com
Estably	DE	Broker	Global ETFs / ETPs	https://estably.broker/depot/	https://estably.broker/kontakt/
Vivid Money	DE	Neobroker	UCITS ETFs / ETCs	https://vivid.money/de-de/personal/	
HypoVereinsbank (HVB)	DE	Bank	UCITS ETFs / ETCs	https://www.hypovereinsbank.de/hvb/privatkunden/geldanlage/depotmodelle/smart-depot	
Swissquote	CH	Bank	Global ETFs / ETPs	https://www.swissquote.com/	bank@swissquote.com
IBKR Financial Services	CH	Broker	Global ETFs / ETPs	https://www.interactivebrokers.ch/	https://www.interactivebrokers.com/en/general/contact/newContact/contact.php
PostFinance	CH	Bank	Global ETFs / ETPs	https://www.postfinance.ch/en/private/investing/solutions/online-trading/e-trading.html	https://www.postfinance.ch/en/support.html
UBS key4 / e-banking	CH	Bank	Global ETFs / ETPs	https://www.ubs.com/ch/en/services/digital-banking/mobile-banking/key4.html	
Cornèrtrader	CH	Bank	Global ETFs / ETPs	https://www.cornertrader.ch/en/	info@cornertrader.ch
Migros Bank	CH	Bank	Global ETFs / ETPs	https://www.migrosbank.ch/de/privatpersonen/anlegen/anlageloesungen/wertschriftendepot.html	
Yuh	CH	Neobroker	Global ETFs / ETPs	https://www.yuh.com/en/	https://www.yuh.com/en/contact/
neon invest	CH	Neobroker	Global ETFs / ETPs	https://www.neon-free.ch/neon-invest	
Alpian	CH	Bank	Global ETFs / ETPs	https://www.alpian.com/investment	
Raiffeisen Switzerland	CH	Bank	Global ETFs / ETPs	https://www.raiffeisen.ch/rch/de/privatkunden/anlegen.html	https://www.raiffeisen.ch/rch/de/ueber-uns/kontakt.html
Banque Cantonale Vaudoise (BCV)	CH	Bank	Global ETFs / ETPs	https://www.bcv.ch/fr/home.html	https://www.bcv.ch/fr/home/aide-et-contact.html
Banque Cantonale de Genève (BCGE)	CH	Bank	Global ETFs / ETPs	https://www.bcge.ch/fr/particuliers	https://www.bcge.ch/fr/contact
Basler Kantonalbank	CH	Bank	Global ETFs / ETPs	https://www.bkb.ch/de/die-basler-kantonalbank/kontakt-services/hilfe-und-kontakt-konto	https://www.bkb.ch/de/geschaeftskunden/immobilien/kontakt
Luzerner Kantonalbank	CH	Bank	Global ETFs / ETPs	https://www.lukb.ch/private/anlegen/selbststaendig-anlegen/e-depot	https://www.lukb.ch/ueber-uns/kontakt/karte-sperren
Berner Kantonalbank	CH	Bank	Global ETFs / ETPs	https://www.bekb.ch/de/privatkunden/geld-anlegen/anlageprodukte/wertschriftendepot	https://www.bekb.ch/de/hilfe-support/zahlungsmittel/erbschaft-und-todesfall
Bank Cler	CH	Bank	Global ETFs / ETPs	https://www.cler.ch/de/anlegen	https://www.cler.ch/de/services/kontakt/beraten-werden?thema=Anlegen&amp;interesse=Anlegen
Valiant	CH	Bank	Global ETFs / ETPs	https://www.valiant.ch/de/privatkunden/anlegen	
Saxo Bank (Schweiz)	CH	Bank	Global ETFs / ETPs	https://www.home.saxo/de-ch/accounts/individual	solutions-ch@saxobank.com
Zürcher Kantonalbank	CH	Bank	Global ETFs / ETPs	https://www.zkb.ch/de/private/anlagen/anlageloesungen/execution-only.html	
cash – banking by bank zweiplus	CH	Bank	Global ETFs / ETPs	https://www.cash.ch/online-trading	bankingline@bankzweiplus.ch
Bitpanda	AT	Neobroker	UCITS ETFs / ETCs	https://www.bitpanda.com/de-at	
Erste Bank George	AT	Bank	UCITS ETFs / ETCs	https://www.sparkasse.at/erstebank/privatkunden/digitales-banking/george-kennenlernen/george-wertpapierhandel	
easybank	AT	Bank	UCITS ETFs / ETCs	https://www.easybank.at/easybank/anlegen/wertpapierdepot	https://www.easybank.at/easybank/kontaktnummern
DADAT Bank	AT	Bank	UCITS ETFs / ETCs	https://www.dad.at/boerse-depot/depot-trading/wertpapierdepot	https://www.dad.at/ueber-uns/kontakt/kontaktdaten
Raiffeisen Mein ELBA	AT	Bank	UCITS ETFs / ETCs	https://www.raiffeisen.at/de/online-banking/mein-elba.html	info@raiffeisen.at
BankDirekt.at	AT	Bank	UCITS ETFs / ETCs	https://www.bankdirekt.at/de/produkte/wertpapiere.html	service@bankdirekt.at
Bank Austria	AT	Bank	UCITS ETFs / ETCs	https://www.bankaustria.at/geld-anlegen-depot-eroeffnen.jsp	
BAWAG	AT	Bank	UCITS ETFs / ETCs	https://www.bawag.at/bawag/privatkunden/investieren/depot	https://www.bawag.at/bawag/kontakte
Oberbank	AT	Bank	UCITS ETFs / ETCs	https://www.oberbank.at/wertpapier-infos	https://www.oberbank.at/kontaktformular
DEGIRO	NL	Broker	UCITS ETFs / ETCs	https://www.degiro.nl/	klanten@degiro.nl
TradeZero Europe	NL	Broker	US ETFs / ETNs	https://tradezero.com/en-ee	support@tradezero.nl
TradeStation Europe	NL	Broker	US ETFs / ETNs	https://www.tradestation.com/	
Webull Europe	NL	Neobroker	US ETFs / ETNs	https://www.webull.eu/	support-eu@webull.eu
BUX	NL	Neobroker	UCITS ETFs / ETCs	https://getbux.com/	
Bunq	NL	Neobroker	UCITS ETFs / ETCs	https://www.bunq.com/investments	
ING Nederland	NL	Bank	UCITS ETFs / ETCs	https://www.ing.nl/particulier/beleggen/beleggen-bij-ing/zelf-op-de-beurs	
Rabobank	NL	Bank	UCITS ETFs / ETCs	https://www.rabobank.nl/particulieren/beleggen/rabo-zelf-beleggen	
ABN AMRO	NL	Bank	UCITS ETFs / ETCs	https://www.abnamro.nl/nl/prive/beleggen/beleggingsvormen/beleggingsrekening/index.html	
LYNX Nederland	NL	Broker	Global ETFs / ETPs	https://www.lynx.nl/beleggingsrekening/beleggingsrekening-openen/	info@lynx.nl
Easybroker	NL	Broker	Global ETFs / ETPs	https://www.easybroker.nl/start-aanvraag	https://www.easybroker.nl/support
Saxo Bank Nederland	NL	Bank	Global ETFs / ETPs	https://www.home.saxo/nl-nl/accounts/openaccount	
Today's Brokers	NL	Broker	Global ETFs / ETPs	https://todaysgroup.nl/todays-brokers/	https://todaysgroup.nl/contact/
Alex Beleggersbank	NL	Broker	UCITS ETFs / ETCs	https://www.alex.nl/	https://www.home.saxo/nl-nl/contact-us
BGL BNP Paribas	LU	Bank	UCITS ETFs / ETCs	https://www.bgl.lu/fr/particuliers/investir/investir-en-ligne.html	
Swissquote Bank Europe	LU	Bank	Global ETFs / ETPs	https://www.swissquote.com/en-lu/private	
Spuerkeess (S-Net Invest)	LU	Bank	UCITS ETFs / ETCs	https://www.spuerkeess.lu/en/private-customers/saving-and-investing/invest-by-yourself/	
Banque de Luxembourg	LU	Bank	UCITS ETFs / ETCs	https://www.banquedeluxembourg.com/	https://www.banquedeluxembourg.com/en/bank/bl/private-investors/key-clients-support
Banque Raiffeisen	LU	Bank	UCITS ETFs / ETCs	https://www.raiffeisen.lu/en	
Banque Internationale à Luxembourg	LU	Bank	Global ETFs / ETPs	https://www.bil.com/static/devenir-client/ouvrir-compte-bancaire.html	contact@bil.com
WH SelfInvest	LU	Broker	Global ETFs / ETPs	https://www.whselfinvest.lu/en-lu/trading/information/clients/relationship	info@whselfinvest.fr
Bolero (KBC)	BE	Bank	UCITS ETFs / ETCs	https://www.bolero.be/nl/word-client	https://www.bolero.be/nl/support
Keytrade Bank	BE	Bank	UCITS ETFs / ETCs	https://www.keytradebank.be/en/	info@keytradebank.com
MeDirect	BE	Bank	UCITS ETFs / ETCs	https://www.medirect.be	https://www.medirect.be/contact/
Belfius (Re=Bel)	BE	Bank	UCITS ETFs / ETCs	https://www.belfius.be/retail/nl/producten/sparen-beleggen/rebel/index.aspx	
BNP Paribas Fortis	BE	Bank	UCITS ETFs / ETCs	https://www.bnpparibasfortis.be/nl/public/particulieren/sparen-en-beleggen/zelf-online-beleggen	
Argenta	BE	Bank	UCITS ETFs / ETCs	https://www.argenta.be/nl/beleggen/beleggingsplan.html	
ING Self Invest	BE	Bank	UCITS ETFs / ETCs	https://www.ing.be/en/individuals/investing/shares	
Saxo Bank Belgium	BE	Bank	Global ETFs / ETPs	https://www.home.saxo/nl-be/accounts/openaccount	
CBC Banque	BE	Bank	UCITS ETFs / ETCs	https://www.cbc.be/particuliers/fr/produits/placements/mes-investissements.html	https://www.cbc.be/particuliers/fr/contact-support/cbc-live-service-client.html
BoursoBank (Boursorama)	FR	Bank	UCITS ETFs / ETCs	https://www.boursobank.com/bourse	
Fortuneo	FR	Bank	UCITS ETFs / ETCs	https://www.fortuneo.fr/bourse/compte-titres	https://mabanque.fortuneo.fr/fr/mail7.jsp
Bourse Direct	FR	Broker	UCITS ETFs / ETCs	https://www.boursedirect.fr/fr/bourse/ouvrir-un-compte	https://www.boursedirect.fr/fr/support
BforBank	FR	Bank	UCITS ETFs / ETCs	https://www.bforbank.com/bourse	
Hello bank! France	FR	Bank	UCITS ETFs / ETCs	https://www.hellobank.fr/fr/offre/bourse/offres-et-tarifications/	
Crédit Agricole Invest Store	FR	Bank	UCITS ETFs / ETCs	https://www.credit-agricole.fr/particulier/epargne/bourse/plateforme-ca-bourse.html	
LCL Bourse	FR	Bank	UCITS ETFs / ETCs	https://www.lcl.fr/bourse	
Société Générale Bourse	FR	Bank	UCITS ETFs / ETCs	https://particuliers.sg.fr/epargner-placer-son-argent/nos-offres/cto-compte-titres-ordinaire	https://particuliers.sg.fr/aides-contact-public/contacter-conseiller
BNP Paribas Bourse	FR	Bank	UCITS ETFs / ETCs	https://mabanque.bnpparibas/fr/bourse/nos-offres-et-services-bourse	
Saxo France	FR	Bank	Global ETFs / ETPs	https://www.home.saxo/fr-fr/accounts	https://www.home.saxo/fr-fr/contact-us
ProRealTime Trading	FR	Broker	UCITS ETFs / ETCs	https://www.prorealtime.com/fr/courtage	https://www.prorealtime.com/fr/contact
EasyBourse	FR	Broker	UCITS ETFs / ETCs	https://www.easybourse.com	
Crédit Mutuel	FR	Bank	UCITS ETFs / ETCs	https://www.creditmutuel.fr/fr/particuliers/epargne/web-bourse.html	https://www.creditmutuel.fr/fr/particuliers/contact.html
CIC	FR	Bank	UCITS ETFs / ETCs	https://www.cic.fr/fr/particuliers/epargne/compte-titres-ordinaire.html	https://www.cic.fr/fr/particuliers/epargne/compte-titres-ordinaire-contact.html
Caisse d'Épargne	FR	Bank	UCITS ETFs / ETCs	https://www.caisse-epargne.fr/epargner/compte-titres-ordinaires/	https://www.caisse-epargne.fr/nous-contacter/
Banque Populaire	FR	Bank	UCITS ETFs / ETCs	https://www.banquepopulaire.fr/epargner/espace-bourse-en-ligne/	https://www.banquepopulaire.fr/nous-contacter/
La Banque Postale	FR	Bank	UCITS ETFs / ETCs	https://www.labanquepostale.fr/particulier/epargner/univers-bourse/cto.html	
AXA Banque	FR	Bank	UCITS ETFs / ETCs	https://www.axa.fr/epargne-retraite/bourse.html	https://www.axa.fr/services-assistance/contact-axa/formulaire-reclamation.html
Milleis Banque	FR	Bank	UCITS ETFs / ETCs	https://www.milleis.fr/devenir-client-milleis	
ODDO BHF	FR	Bank	Global ETFs / ETPs	https://www.oddo-bhf.com/fr/private-clients/	https://www.oddo-bhf.com/fr/contact/
FinecoBank	IT	Bank	UCITS ETFs / ETCs	https://it.finecobank.com/trading/	
Directa SIM	IT	Broker	UCITS ETFs / ETCs	https://directa.it/	directa@directa.it
Banca Sella	IT	Bank	UCITS ETFs / ETCs	https://www.sella.it/banca-on-line/trader/conti-e-servizi/conto-trader	https://www.sella.it/banca-on-line/contatti-e-assistenza
Webank (Banco BPM)	IT	Bank	UCITS ETFs / ETCs	https://www.webank.it/webankpub/wbresp/trading.do	https://www.webank.it/webankpub/wbresp/t2/contatti.do
Intesa Sanpaolo	IT	Bank	UCITS ETFs / ETCs	https://www.intesasanpaolo.com/it/persone-e-famiglie/tutti-i-giorni/investimenti-online.html	
Fideuram Direct	IT	Bank	UCITS ETFs / ETCs	https://www.fideuramdirect.it/it/cta/apri-un-conto.html	
Widiba	IT	Bank	UCITS ETFs / ETCs	https://www.widiba.it/banca-online/risparmio-e-investimenti/prodotti-di-investimento/widiba-trading	https://www.widiba.it/banca-online/siamo-a-tua-disposizione/contatti-e-assistenza
Mediobanca Premier (CheBanca!)	IT	Bank	UCITS ETFs / ETCs	https://www.mediobancapremier.com/public/header/diventa-cliente/100-online	https://www.mediobancapremier.com/public/header/contatti
BG Saxo SIM	IT	Broker	Global ETFs / ETPs	https://www.bgsaxo.it/accounts/individual	https://www.bgsaxo.it/contact-us
Banca Generali	IT	Bank	UCITS ETFs / ETCs	https://www.bancageneraliprivate.it/prodotti/conto-corrente/bg-piu	
BancoPosta	IT	Bank	UCITS ETFs / ETCs	https://www.poste.it/investi-con-poste-italiane	
UniCredit	IT	Bank	Global ETFs / ETPs	https://www.unicredit.it/it/privati/investimenti-e-risparmio/tutti-gli-investimenti/investi-online/conto-titoli-come-aprirlo.html	
BPER Banca	IT	Bank	UCITS ETFs / ETCs	https://www.bper.it/privati/servizi-digitali/trading-online	https://www.bper.it/form-contatti?__categoryProduct=servizi%20digitali&__product=Smart%20Trading&__typeVisitor=Privati
Banca Mediolanum	IT	Bank	UCITS ETFs / ETCs	https://www.bancamediolanum.it/investimenti-online/trading/	negoziazionetitoli@mediolanum.it
Credem	IT	Bank	UCITS ETFs / ETCs	https://www.credem.it/content/credem/it/privati-e-famiglie/conti-servizi-e-carte/servizi_online/trading_online.html	https://www.credem.it/content/credem/it/contatti.html
IWBank	IT	Bank	UCITS ETFs / ETCs	https://www.iwbank.it/	
Renta 4 Banco	ES	Bank	UCITS ETFs / ETCs	https://www.r4.com/hazte-cliente	clientes@renta4.es
Bankinter	ES	Bank	UCITS ETFs / ETCs	https://www.bankinter.com/banca/ahorro-inversion/inversion/broker	
BBVA Trader Bolsa	ES	Bank	UCITS ETFs / ETCs	https://www.bbva.es/personas/productos/bolsa/cuenta-de-valores.html	
CaixaBank Bolsa	ES	Bank	UCITS ETFs / ETCs	https://www.caixabank.es/particular/bolsa-mercados/acciones.html	https://www.caixabank.es/particular/contacto/contactanos_es.html
Openbank	ES	Bank	UCITS ETFs / ETCs	https://www.openbank.es/inversiones/invertir-bolsa-valores	
MyInvestor	ES	Neobroker	UCITS ETFs / ETCs	https://myinvestor.es/inversion/broker	
